"Code","Year","Health.expenditure..private....of.GDP.","Health.expenditure..public....of.GDP.","Health.expenditure..total....of.GDP.","Health.expenditure.per.capita..PPP..constant.2011.international...","Entity"
"CIV",1995,4.72313864913294,1.64586928086706,6.36900793,135.86672604,"Cote d'Ivoire"
"CIV",1996,4.88647235165905,1.85410700834095,6.74057936,152.97909011,"Cote d'Ivoire"
"CIV",1997,5.06290898633515,2.00328985366485,7.06619884,164.30612049,"Cote d'Ivoire"
"CIV",1998,5.40939022847423,1.88881311152577,7.29820334,175.05571223,"Cote d'Ivoire"
"CIV",1999,4.72201032376563,1.79966740623437,6.52167773,157.29897146,"Cote d'Ivoire"
"CIV",2000,4.21314016600333,1.78803570399667,6.00117587,141.64013378,"Cote d'Ivoire"
"CIV",2001,3.55622889584051,1.29025786415949,4.84648676,114.72284681,"Cote d'Ivoire"
"CIV",2002,3.05816833968343,1.40860098031657,4.46676932,103.60125623,"Cote d'Ivoire"
"CIV",2003,3.31375305099887,1.33833360900113,4.65208666,106.65504876,"Cote d'Ivoire"
"CIV",2004,3.76572825438612,1.47167442561388,5.23740268,122.71388869,"Cote d'Ivoire"
"CIV",2005,4.11988780425406,1.26971949574594,5.3896073,130.17252563,"Cote d'Ivoire"
"CIV",2006,4.51259305531272,1.35840382468728,5.87099688,145.53252804,"Cote d'Ivoire"
"CIV",2007,4.91767135836272,1.42821313163728,6.34588449,161.06691863,"Cote d'Ivoire"
"CIV",2008,4.67687588615533,1.52862642384467,6.20550231,161.26178166,"Cote d'Ivoire"
"CIV",2009,4.7167171180815,1.6968101519185,6.41352727,169.66543002,"Cote d'Ivoire"
"CIV",2010,4.64766848213136,1.67617216786863,6.32384065,168.91862407,"Cote d'Ivoire"
"CIV",2011,4.78482848627861,1.6356969737214,6.42052546,163.52480714,"Cote d'Ivoire"
"CIV",2012,4.25817762742109,1.88504549257891,6.14322312,172.15842302,"Cote d'Ivoire"
"CIV",2013,4.01295572732963,1.79658788267037,5.80954361,176.12666547,"Cote d'Ivoire"
"CIV",2014,4.03773507933155,1.67853849066845,5.71627357,187.0199205,"Cote d'Ivoire"
"CMR",1995,2.96097309619857,0.900268713801434,3.86124181,61.59151072,"Cameroon"
"CMR",1996,4.274241176322,0.893368283678002,5.16760946,85.67326204,"Cameroon"
"CMR",1997,3.66575055451436,0.978965995485641,4.64471655,80.28199924,"Cameroon"
"CMR",1998,3.63859295607685,0.784629613923152,4.42322257,78.92748857,"Cameroon"
"CMR",1999,3.6003075861618,0.833734823838198,4.43404241,81.4090631,"Cameroon"
"CMR",2000,3.54663143351087,0.932629186489131,4.47926062,85.34653046,"Cameroon"
"CMR",2001,3.57149945283168,1.12919927716832,4.70069873,93.27304682,"Cameroon"
"CMR",2002,3.57273456639421,1.2903832036058,4.86311777,99.29319896,"Cameroon"
"CMR",2003,3.641671737515,1.331728012485,4.97339975,104.99663753,"Cameroon"
"CMR",2004,3.60090532798133,1.12963812201867,4.73054345,103.71005682,"Cameroon"
"CMR",2005,3.63106327282602,1.12007917717398,4.75114245,107.19515016,"Cameroon"
"CMR",2006,3.60940743645379,1.07609231354621,4.68549975,109.63166278,"Cameroon"
"CMR",2007,3.69092731275568,1.06577620724432,4.75670352,115.00514745,"Cameroon"
"CMR",2008,4.1268992161109,1.0492873338891,5.17618655,127.97963476,"Cameroon"
"CMR",2009,3.78685571950399,1.28313286049601,5.06998858,125.51292404,"Cameroon"
"CMR",2010,3.77723506438948,1.50760227561052,5.28483734,133.33019941,"Cameroon"
"CMR",2011,2.63022801331992,1.33144715668008,3.96167517,103.5778214,"Cameroon"
"CMR",2012,3.27236747346912,1.06674709653088,4.33911457,117.76815168,"Cameroon"
"CMR",2013,3.28062763645281,1.01246967354719,4.29309731,121.73181916,"Cameroon"
"CMR",2014,3.1650378885995,0.9386336914005,4.10367158,121.9234186,"Cameroon"
"COD",1995,3.0991837417789,0.151469658221104,3.2506534,17.09151559,"Democratic Republic of Congo"
"COD",1996,2.92080385094299,0.113020059057005,3.03382391,15.61689114,"Democratic Republic of Congo"
"COD",1997,3.41377808761649,0.204867812383508,3.6186459,17.42708952,"Democratic Republic of Congo"
"COD",1998,4.08560238428567,0.178185155714331,4.26378754,19.93234657,"Democratic Republic of Congo"
"COD",1999,3.55662109769789,0.247696712302109,3.80431781,16.86426537,"Democratic Republic of Congo"
"COD",2000,1.40154003808172,0.044703611918281,1.44624365,5.94371358,"Democratic Republic of Congo"
"COD",2001,2.522677990434,0.144179749565995,2.66685774,10.66369969,"Democratic Republic of Congo"
"COD",2002,2.42708349485558,0.16008040514442,2.5871639,10.49050159,"Democratic Republic of Congo"
"COD",2003,2.50374001551908,0.700026844480922,3.20376686,13.55512195,"Democratic Republic of Congo"
"COD",2004,2.62160336954084,0.718354640459159,3.33995801,15.00963437,"Democratic Republic of Congo"
"COD",2005,2.3921540678265,0.752462162173498,3.14461623,14.99155545,"Democratic Republic of Congo"
"COD",2006,2.44668981181052,0.938991328189475,3.38568114,16.96617062,"Democratic Republic of Congo"
"COD",2007,2.40130386479293,1.20943434520707,3.61073821,19.10881626,"Democratic Republic of Congo"
"COD",2008,2.35791000900966,2.09987276099034,4.45778277,24.73571779,"Democratic Republic of Congo"
"COD",2009,3.2502083391306,2.3629790608694,5.6131874,31.25019,"Democratic Republic of Congo"
"COD",2010,2.98038363736395,1.06259561263605,4.04297925,23.62151268,"Democratic Republic of Congo"
"COD",2011,2.27959291797096,1.25526855202904,3.53486147,21.81532551,"Democratic Republic of Congo"
"COD",2012,2.07809247245564,1.68717362754436,3.7652661,24.55287183,"Democratic Republic of Congo"
"COD",2013,2.56333351866642,1.32344175133358,3.88677527,27.04017289,"Democratic Republic of Congo"
"COD",2014,2.72987714009393,1.59835646990607,4.32823361,32.28043161,"Democratic Republic of Congo"
"COG",1995,1.28711834442315,1.87594234557686,3.16306069,108.70007956,"Congo"
"COG",1996,1.14130336128828,1.72161154871172,2.86291491,101.69108957,"Congo"
"COG",1997,1.18684476192708,1.91183631807292,3.09868108,108.24046034,"Congo"
"COG",1998,1.51997530500316,2.21840185499684,3.73837716,133.25596911,"Congo"
"COG",1999,1.31223714791421,1.75276488208579,3.06500203,105.24675542,"Congo"
"COG",2000,0.902457528019601,1.2225920619804,2.12504959,78.28895335,"Congo"
"COG",2001,1.10180425050559,1.33453248949441,2.43633674,93.06025105,"Congo"
"COG",2002,1.16480543736969,1.28795915263031,2.45276459,97.25513939,"Congo"
"COG",2003,1.31032830412564,1.30017916587436,2.61050747,104.04615539,"Congo"
"COG",2004,1.18562078519209,1.36967510480791,2.55529589,105.71315114,"Congo"
"COG",2005,0.987109811253141,1.43460850874686,2.42171832,108.55239938,"Congo"
"COG",2006,0.878675534993384,1.49403276500662,2.3727083,113.17955886,"Congo"
"COG",2007,0.991939497410812,1.54576413258919,2.53770363,118.64923385,"Congo"
"COG",2008,0.846548885243252,1.23859287475675,2.08514176,101.73486976,"Congo"
"COG",2009,1.12444394023665,1.14114181976335,2.26558576,116.12147846,"Congo"
"COG",2010,0.906269478231682,1.38657897176832,2.29284845,125.69650517,"Congo"
"COG",2011,0.812776431387101,1.9773752586129,2.79015169,157.15350501,"Congo"
"COG",2012,0.82692508716726,3.14942137283274,3.97634646,230.64481769,"Congo"
"COG",2013,1.03732995003923,4.05731116996077,5.09464112,302.59809425,"Congo"
"COG",2014,0.939490507984924,4.21192085201507,5.15141136,322.63336555,"Congo"
"COM",1995,1.73356348400528,2.87978620599472,4.61334969,47.94133691,"Comoros"
"COM",1996,1.76630076602612,2.71394970397389,4.48025047,45.52331497,"Comoros"
"COM",1997,1.90765686366698,2.58492557633302,4.49258244,47.00948373,"Comoros"
"COM",1998,1.85917640254834,2.18503614745166,4.04421255,42.18844901,"Comoros"
"COM",1999,1.90368215127518,1.96442664872482,3.8681088,40.68341733,"Comoros"
"COM",2000,2.03287705338316,1.52272309661683,3.55560015,37.81337481,"Comoros"
"COM",2001,1.76474420051047,1.09467533948953,2.85941954,33.93095702,"Comoros"
"COM",2002,1.71816241772258,1.66975810227742,3.38792052,40.75929576,"Comoros"
"COM",2003,1.83438167060461,1.81547483939539,3.64985651,44.6369474,"Comoros"
"COM",2004,1.94863771465491,2.01043844534509,3.95907616,49.49849521,"Comoros"
"COM",2005,2.04244216773573,2.27405185226427,4.31649402,55.91710481,"Comoros"
"COM",2006,2.06420745588934,2.50715151411066,4.57135897,61.15331749,"Comoros"
"COM",2007,2.12746191961489,2.80299141038511,4.93045333,66.6154136,"Comoros"
"COM",2008,2.03605035736476,3.09453206263524,5.13058242,69.2544968,"Comoros"
"COM",2009,2.09473248041161,1.72121211958839,3.8159446,51.63718949,"Comoros"
"COM",2010,4.37039462158108,1.45440889841892,5.82480352,79.5724738,"Comoros"
"COM",2011,4.44029079456902,1.65675933543098,6.09705013,85.1168533,"Comoros"
"COM",2012,4.46063265851054,2.64660402148946,7.10723668,101.522384,"Comoros"
"COM",2013,4.50619032519032,2.00319324480969,6.50938357,95.32731087,"Comoros"
"COM",2014,4.53032278837456,2.21732035162544,6.74764314,100.81611783,"Comoros"
"DZA",1995,1.02793017393526,2.67359435606474,3.70152453,252.76942406,"Algeria"
"DZA",1996,0.846887160484184,2.50218251951582,3.34906968,236.52961023,"Algeria"
"DZA",1997,1.04129199407516,2.55336573592484,3.59465773,256.90335228,"Algeria"
"DZA",1998,1.06610139605023,2.52798038394977,3.59408178,268.85153941,"Algeria"
"DZA",1999,1.05058365769438,2.38333129230562,3.43391495,265.38824248,"Algeria"
"DZA",2000,0.930459699528884,2.55856124047112,3.48902094,278.0811557,"Algeria"
"DZA",2001,0.86614769980658,2.97171746019342,3.83786516,323.07174002,"Algeria"
"DZA",2002,0.877790139712013,2.85227361028799,3.73006375,332.46065159,"Algeria"
"DZA",2003,0.7987897169482,2.8022370230518,3.60102674,346.54772529,"Algeria"
"DZA",2004,0.977815187767994,2.56624807223201,3.54406326,360.8093318,"Algeria"
"DZA",2005,0.954934935782999,2.280233074217,3.23516801,355.14001347,"Algeria"
"DZA",2006,1.02026775931798,2.33485067068202,3.35511843,380.56748693,"Algeria"
"DZA",2007,1.11584111881508,2.70557079118492,3.82141191,453.2422424,"Algeria"
"DZA",2008,1.13910751686115,3.06280389313885,4.20191141,510.13441542,"Algeria"
"DZA",2009,1.52145903017948,3.83796597982052,5.35942501,654.9774122,"Algeria"
"DZA",2010,1.5239461539134,3.5932085260866,5.11715468,644.2558833,"Algeria"
"DZA",2011,1.51719903249066,3.77572930750934,5.29292834,686.21865915,"Algeria"
"DZA",2012,1.62286183032945,4.52025088967055,6.14311272,821.33888535,"Algeria"
"DZA",2013,1.93602363138588,5.18835904861412,7.12438268,858.86035635,"Algeria"
"DZA",2014,1.96303251044821,5.24414552955179,7.20717804,932.10028378,"Algeria"
"EGY",1995,1.8904806976131,1.6460250423869,3.53650574,181.00787946,"Egypt"
"EGY",1996,2.27614083361611,1.62066466638389,3.8968055,209.32875129,"Egypt"
"EGY",1997,2.82455194493976,1.78553945506024,4.6100914,248.10334312,"Egypt"
"EGY",1998,2.95672624497676,1.96981126502324,4.92653751,270.65642524,"Egypt"
"EGY",1999,3.13398220011752,2.12341339988248,5.2573956,301.8099862,"Egypt"
"EGY",2000,3.30379285470106,2.24695839529894,5.55075125,324.74736687,"Egypt"
"EGY",2001,3.42298698808903,2.32755828191097,5.75054527,359.83611087,"Egypt"
"EGY",2002,3.5657742891729,2.4038170608271,5.96959135,389.68226137,"Egypt"
"EGY",2003,3.3434955850216,2.0685479649784,5.41204355,368.71756689,"Egypt"
"EGY",2004,3.22499407522418,1.98591149477582,5.21090557,363.03021008,"Egypt"
"EGY",2005,3.07756330249904,1.98504098750096,5.06260429,374.45213214,"Egypt"
"EGY",2006,2.95205056316938,2.28751927683062,5.23956984,413.68671245,"Egypt"
"EGY",2007,2.90373781433113,2.04669573566887,4.95043355,422.33595373,"Egypt"
"EGY",2008,2.79013593323521,2.02972719676479,4.81986313,441.45361796,"Egypt"
"EGY",2009,2.95077185431026,2.05812684568974,5.0088987,475.10315894,"Egypt"
"EGY",2010,2.92466537504344,1.87259284495657,4.79725822,474.81048105,"Egypt"
"EGY",2011,3.04886253447604,1.99080413552396,5.03966667,507.54714318,"Egypt"
"EGY",2012,3.38437029254786,1.90923132745214,5.29360162,542.45978488,"Egypt"
"EGY",2013,3.4050531391184,2.05746810088159,5.46252124,567.16992413,"Egypt"
"EGY",2014,3.48673054907778,2.15538450092222,5.64211505,594.11025159,"Egypt"
"ERI",1995,2.35179628766945,2.17197440233055,4.52377069,51.09138134,"Eritrea"
"ERI",1996,2.29097672929939,1.32110035070061,3.61207708,44.83989001,"Eritrea"
"ERI",1997,2.42784249868671,1.77092697131329,4.19876947,56.19006703,"Eritrea"
"ERI",1998,2.63278292045143,1.85142627954857,4.4842092,60.31917186,"Eritrea"
"ERI",1999,3.00899136490057,1.99656889509943,5.00556026,66.52910658,"Eritrea"
"ERI",2000,2.84608250473277,1.58851116526723,4.43459367,56.64506248,"Eritrea"
"ERI",2001,2.56201983264096,1.38678137735904,3.94880121,54.2664003,"Eritrea"
"ERI",2002,2.38211865695661,1.64046934304339,4.022588,55.77824595,"Eritrea"
"ERI",2003,2.21077539525046,1.29168899474954,3.50246439,46.50221267,"Eritrea"
"ERI",2004,1.90633991244908,1.23601455755092,3.14235447,42.02964394,"Eritrea"
"ERI",2005,1.87198253051549,1.09593913948451,2.96792167,40.76206719,"Eritrea"
"ERI",2006,1.8285203521317,1.4704505278683,3.29897088,45.03224304,"Eritrea"
"ERI",2007,1.80123648071292,1.49033812928708,3.29157461,45.70368588,"Eritrea"
"ERI",2008,1.75703722296337,1.93142960703663,3.68846683,46.12307138,"Eritrea"
"ERI",2009,1.90397914552083,1.39796022447917,3.30193937,42.341886,"Eritrea"
"ERI",2010,1.81545540060192,1.42486355939808,3.24031896,42.10113652,"Eritrea"
"ERI",2011,1.65306742030579,1.40782256969421,3.06088999,43.19398287,"Eritrea"
"ERI",2012,1.59243628551103,1.38397646448897,2.97641275,44.79592593,"Eritrea"
"ERI",2013,1.63395323953302,1.37826626046698,3.0122195,45.62915665,"Eritrea"
"ERI",2014,1.81082917628413,1.52746400371587,3.33829318,51.0405941,"Eritrea"
"ETH",1995,1.75551891496054,1.20108990503946,2.95660882,12.40728922,"Ethiopia"
"ETH",1996,1.80523697636856,1.11333172363144,2.9185687,13.58443697,"Ethiopia"
"ETH",1997,1.89249289346324,1.30828310653676,3.200776,15.16155002,"Ethiopia"
"ETH",1998,2.10055236196099,1.63413600803901,3.73468837,16.76469257,"Ethiopia"
"ETH",1999,2.1131257349754,1.8427428150246,3.95586855,18.41877691,"Ethiopia"
"ETH",2000,1.98155986686326,2.38265541313674,4.36421528,21.41641274,"Ethiopia"
"ETH",2001,2.03176556549024,2.23081820450976,4.26258377,22.50991904,"Ethiopia"
"ETH",2002,2.17917619528605,2.55028135471395,4.72945755,25.01220334,"Ethiopia"
"ETH",2003,2.07900051210933,2.55636890789067,4.63536942,23.77366821,"Ethiopia"
"ETH",2004,1.86095768967392,2.37364068032608,4.23459837,24.6384633,"Ethiopia"
"ETH",2005,1.62137374099997,2.58033434900003,4.20170809,27.44203037,"Ethiopia"
"ETH",2006,1.93734404247728,2.52940562752272,4.46674967,32.42684174,"Ethiopia"
"ETH",2007,2.11884331109518,2.57147709890482,4.69032041,37.92213038,"Ethiopia"
"ETH",2008,2.05937065065714,2.22132218934286,4.28069284,38.0668298,"Ethiopia"
"ETH",2009,1.98777651464002,2.42151969535998,4.40929621,41.86599854,"Ethiopia"
"ETH",2010,3.14467379479564,3.71673603520435,6.86140983,72.30531157,"Ethiopia"
"ETH",2011,2.81254714155815,3.73515572844185,6.54770287,76.29493633,"Ethiopia"
"ETH",2012,2.45875333419685,3.31059512580315,5.76934846,72.46903911,"Ethiopia"
"ETH",2013,2.23856696166153,2.95363771833847,5.19220468,71.30421924,"Ethiopia"
"ETH",2014,2.01674649977858,2.86756675022142,4.88431325,72.96435215,"Ethiopia"
"GHA",1995,1.46335758821476,1.62287138178524,3.08622897,74.4898744,"Ghana"
"GHA",1996,1.42612168840499,2.01892710159501,3.44504879,86.4727978,"Ghana"
"GHA",1997,1.55991576689063,1.43560553310937,2.9955213,77.88653371,"Ghana"
"GHA",1998,1.45880954718534,1.77275378281466,3.23156333,82.86623419,"Ghana"
"GHA",1999,1.48710859239903,1.59337753760097,3.08048613,82.31670072,"Ghana"
"GHA",2000,1.50003904932123,1.49809434067877,2.99813339,83.48217617,"Ghana"
"GHA",2001,1.51387083214512,2.04500368785488,3.55887452,103.48250705,"Ghana"
"GHA",2002,1.56417920148916,1.50885022851084,3.07302943,92.99671508,"Ghana"
"GHA",2003,1.54333075446411,1.58056237553589,3.12389313,99.44232899,"Ghana"
"GHA",2004,1.55834127057445,2.39904381942556,3.95738509,133.98169433,"Ghana"
"GHA",2005,1.58390290289649,2.92394495710351,4.50784786,163.52329684,"Ghana"
"GHA",2006,1.59215372439871,3.04422815560129,4.63638188,112.82288182,"Ghana"
"GHA",2007,1.57055553853598,3.72988789146403,5.30044343,137.35382342,"Ghana"
"GHA",2008,1.62763361623397,3.22305449376603,4.85068811,135.44003571,"Ghana"
"GHA",2009,1.4980807279109,3.6749633620891,5.17304409,146.7616323,"Ghana"
"GHA",2010,1.50514442218055,3.82937674781945,5.33452117,161.18140405,"Ghana"
"GHA",2011,1.23189899428139,3.57552048571861,4.80741948,164.93482091,"Ghana"
"GHA",2012,1.64937927300946,3.14067582699054,4.7900551,178.42535533,"Ghana"
"GHA",2013,1.38404004692153,3.24216013307847,4.62620018,180.32007765,"Ghana"
"GHA",2014,1.42840680532436,2.12888508467564,3.55729189,145.36813142,"Ghana"
"GIN",1995,2.28683032989688,1.24440635010312,3.53123668,26.91544636,"Guinea"
"GIN",1996,2.35998242589739,0.769224234102606,3.12920666,24.55273331,"Guinea"
"GIN",1997,2.29905390798853,0.753971712011471,3.05302562,24.99208762,"Guinea"
"GIN",1998,2.44434650909487,0.948582870905134,3.39292938,28.5298997,"Guinea"
"GIN",1999,2.38201189407248,1.03407899592752,3.41609089,29.75166047,"Guinea"
"GIN",2000,2.36022888812673,1.09593945187327,3.45616834,31.01173621,"Guinea"
"GIN",2001,2.38291366960435,1.27041596039565,3.65332963,34.14676688,"Guinea"
"GIN",2002,2.44924110317634,1.31330022682366,3.76254133,36.89839569,"Guinea"
"GIN",2003,2.13280286295557,1.31331174704443,3.44611461,34.27054268,"Guinea"
"GIN",2004,2.25779166704683,0.879682252953166,3.13747392,32.17431993,"Guinea"
"GIN",2005,2.26662277779554,0.55486584220446,2.82148862,30.11027449,"Guinea"
"GIN",2006,2.35486337969243,0.665427570307575,3.02029095,33.26281195,"Guinea"
"GIN",2007,2.65989587442998,0.418226465570024,3.07812234,34.5268482,"Guinea"
"GIN",2008,2.42242169747215,0.784624402527845,3.2070461,37.47494619,"Guinea"
"GIN",2009,2.50201524556348,1.34649863443653,3.84851388,43.96902593,"Guinea"
"GIN",2010,2.53537002193465,2.01176888806535,4.54713891,52.15954757,"Guinea"
"GIN",2011,2.75383839542119,1.97715897457881,4.73099737,56.00818896,"Guinea"
"GIN",2012,3.29239675278305,2.09894617721695,5.39134293,65.71973754,"Guinea"
"GIN",2013,3.1149174393475,2.3782428406525,5.49316028,67.66005,"Guinea"
"GIN",2014,2.90855314894182,2.73624478105818,5.64479793,68.45821523,"Guinea"
"GMB",1995,2.21665223096646,1.04110456903354,3.2577568,34.38813252,"Gambia"
"GMB",1996,2.47069671758417,0.896204512415832,3.36690123,35.97532187,"Gambia"
"GMB",1997,2.1933226033651,0.921290896634895,3.1146135,34.53325196,"Gambia"
"GMB",1998,2.34118750377427,1.19482309622573,3.5360106,39.87781005,"Gambia"
"GMB",1999,2.31099700035044,1.25261531964956,3.56361232,42.18290657,"Gambia"
"GMB",2000,2.37851585135505,1.23486670864495,3.61338256,44.80249427,"Gambia"
"GMB",2001,2.15465388975366,1.55374665024634,3.70840054,48.25480324,"Gambia"
"GMB",2002,2.34363087680847,1.40735689319153,3.75098777,46.45717129,"Gambia"
"GMB",2003,2.09521316227857,2.12397487772143,4.21918804,55.15871756,"Gambia"
"GMB",2004,1.83711596147902,2.51485023852098,4.3519662,60.5910616,"Gambia"
